t me us them sum
0.23815 1 42 110 153
0.24101 1 43 109 153
0.24184 1 44 108 153
0.24525 1 45 107 153
0.24758 1 46 106 153
0.24762 1 47 105 153
0.25089 1 47 106 154
0.25166 1 47 107 155
0.26076 1 48 106 155
0.26168 1 48 107 156
0.26255 1 49 106 156
0.26647 1 50 105 156
0.27052 1 51 104 156
0.27266 1 52 103 156
0.27408 1 53 102 156
0.28049 1 54 101 156
0.28871 1 55 100 156
0.2907 1 56 99 156
0.29395 1 57 98 156
0.29553 1 58 97 156
0.30262 1 59 96 156
0.30679 1 59 97 157
0.30766 1 60 96 157
0.31016 2 60 96 158
0.31059 2 61 95 158
0.31233 2 61 96 159
0.31539 2 62 95 159
0.31735 2 62 96 160
0.31742 2 63 95 160
0.31866 2 64 94 160
0.32158 2 65 93 160
0.32677 2 66 92 160
0.32735 2 67 91 160
0.3281 2 68 90 160
0.32814 2 69 89 160
0.33193 2 69 90 161
0.33466 3 69 90 162
0.33708 3 70 89 162
0.33753 3 71 88 162
0.33843 3 72 87 162
0.33847 3 73 86 162
0.341 3 74 85 162
0.34434 4 74 85 163
0.34718 4 75 84 163
0.35067 4 76 83 163
0.35653 4 77 82 163
0.36308 4 78 81 163
0.3633 4 78 82 164
0.37014 4 78 83 165
0.37285 5 78 83 166
0.37661 5 78 84 167
0.37903 5 79 83 167
0.38524 5 80 82 167
0.3881 5 81 81 167
0.39328 5 82 80 167
0.40617 5 83 79 167
0.41101 5 83 80 168
0.41838 5 84 79 168
0.42279 5 85 78 168
0.42487 5 86 77 168
0.43282 5 86 78 169
0.43469 6 86 78 170
0.43532 6 86 79 171
0.4387 6 86 80 172
0.44261 6 87 79 172
0.45149 6 87 80 173
0.4543 6 87 81 174
0.46264 6 88 80 174
0.46578 6 89 79 174
0.4692 6 89 80 175
0.47323 6 89 81 176
0.47944 6 90 80 176
0.49671 6 90 81 177
0.51013 6 90 82 178
0.51208 6 91 81 178
0.5132 6 91 82 179
0.51758 6 92 81 179
0.5282 6 93 80 179
0.5337 6 93 81 180
0.53771 6 93 82 181
0.53954 7 93 82 182
0.54045 7 93 83 183
0.54773 7 94 82 183
0.55138 7 95 81 183
0.55439 7 96 80 183
0.55797 7 96 81 184
0.56489 7 97 80 184
0.57034 7 98 79 184
0.59331 7 98 80 185
0.60321 7 98 81 186
0.63194 7 99 80 186
0.63524 7 99 81 187
0.68747 7 99 82 188
0.71023 7 100 81 188
0.72122 7 101 80 188
0.72319 7 102 79 188
0.76008 7 102 80 189
0.76096 7 103 79 189
0.76105 7 104 78 189
0.78683 7 105 77 189
0.79742 7 105 78 190
0.82384 8 105 78 191
0.83596 9 105 78 192
0.84322 9 106 77 192
0.90333 9 107 76 192
0.90531 9 108 75 192
0.91214 9 108 76 193
0.92164 9 108 77 194
0.92593 9 109 76 194
0.93683 9 109 77 195
0.94954 9 109 78 196
0.95212 9 109 79 197
0.97735 9 109 80 198
1.01692 10 109 80 199
1.0188 10 110 79 199
1.05299 10 110 80 200
1.07773 10 110 81 201
1.0811 10 110 82 202
1.08286 10 110 83 203
1.10678 10 111 82 203
1.20389 10 111 83 204
1.21075 10 111 84 205
1.22699 11 111 84 206
1.23506 11 112 83 206
1.23748 11 113 82 206
1.24586 11 113 83 207
1.25794 11 113 84 208
1.25854 11 113 85 209
1.26072 11 113 86 210
1.35358 12 113 86 211
1.36982 12 113 87 212
1.37923 12 113 88 213
1.43364 13 113 88 214
1.43798 14 113 88 215
1.51334 14 114 87 215
1.65777 14 114 88 216
1.69394 15 114 88 217
1.69588 15 114 89 218
1.72799 15 114 90 219
1.78427 15 114 91 220
1.81449 15 114 92 221
1.82106 15 114 93 222
1.82142 15 114 94 223
1.83229 15 115 93 223
1.83954 15 116 92 223
1.87612 15 116 93 224
1.8945 15 117 92 224
1.90191 14 118 92 224
2.03127 14 119 91 224
2.0656 15 119 91 225
2.07196 15 119 92 226
2.07906 16 119 92 227
2.15716 16 119 93 228
2.20455 17 119 93 229
2.25439 18 119 93 230
2.26621 18 120 92 230
2.33666 19 120 92 231
2.38288 19 120 93 232
2.39014 19 120 94 233
2.4149 19 120 95 234
2.43221 19 120 96 235
2.43433 19 121 95 235
2.49823 20 121 95 236
2.66655 20 121 96 237
2.66824 21 121 96 238
2.74678 21 121 97 239
2.74805 22 121 97 240
2.76178 23 121 97 241
2.82366 23 121 98 242
2.99654 22 122 98 242
3.03919 23 122 98 243
3.04501 23 123 97 243
3.05937 23 124 96 243
3.16235 23 124 97 244
3.19879 23 124 98 245
3.30204 23 125 97 245
3.35866 24 125 97 246
3.41298 24 126 96 246
3.41434 24 126 97 247
3.43771 24 126 98 248
3.47755 24 126 99 249
3.51055 24 127 98 249
3.59048 24 127 99 250
3.65732 24 128 98 250
3.80447 25 128 98 251
3.88836 26 128 98 252
3.91048 26 129 97 252
3.97174 26 130 96 252
3.99812 26 130 97 253
4.02937 26 130 98 254
4.04109 26 130 99 255
4.04558 26 130 100 256
4.09718 26 131 99 256
4.2286 26 131 100 257
4.24594 26 131 101 258
4.32873 27 131 101 259
4.35022 27 132 100 259
4.3746 28 132 100 260
4.41567 28 133 99 260
4.53638 28 133 100 261
4.57455 28 134 99 261
4.58124 28 135 98 261
4.88708 28 136 97 261
4.92216 28 137 96 261
5.25734 28 137 97 262
5.71228 28 138 96 262
5.7528 29 138 96 263
6.51091 30 138 96 264
6.60085 31 138 96 265
6.78484 31 139 95 265
6.89042 31 140 94 265
7.56469 31 140 95 266
7.57253 30 141 95 266
7.67941 31 141 95 267
7.7543 32 141 95 268
8.04229 33 141 95 269
8.09592 33 141 96 270
8.10006 33 141 97 271
8.22728 33 141 98 272
8.28209 34 141 98 273
8.49877 35 141 98 274
8.76176 36 141 98 275
8.76208 36 142 97 275
8.79829 36 143 96 275
8.82991 36 143 97 276
8.97697 37 143 97 277
9.1354 38 143 97 278
9.16012 38 144 96 278
9.20073 38 145 95 278
9.3552 38 145 96 279
9.63728 38 145 97 280
9.64386 38 145 98 281
9.76394 39 145 98 282
10.18206 39 145 99 283
10.63841 39 146 98 283
10.66137 39 146 99 284
10.91392 39 147 98 284
11.01401 40 147 98 285
11.07952 41 147 98 286
11.2042 41 148 97 286
11.51481 41 149 96 286
11.86381 42 149 96 287
11.8893 43 149 96 288
12.27124 43 150 95 288
12.28754 44 150 95 289
13.91984 44 151 94 289
13.99266 44 152 93 289
14.02102 45 152 93 290
14.91021 46 152 93 291
15.28482 47 152 93 292
15.75033 48 152 93 293
16.11501 49 152 93 294
18.15386 49 152 94 295
18.43527 50 152 94 296
18.77041 51 152 94 297
18.8125 51 152 95 298
18.82899 51 152 96 299
19.65288 52 152 96 300
20.26648 52 153 95 300
20.2707 51 154 95 300
20.42965 51 154 96 301
21.78852 51 155 95 301
22.74728 52 155 95 302
22.85172 52 156 94 302
23.45102 53 156 94 303
24.08713 53 156 95 304
24.27311 53 156 96 305
24.58159 53 156 97 306
24.99559 53 156 98 307
26.23852 52 157 98 307
27.60505 52 158 97 307
28.32557 52 159 96 307
30.37487 51 160 96 307
31.08529 52 160 96 308
31.4965 53 160 96 309
33.14103 53 161 95 309
34.17764 53 162 94 309
34.82277 54 162 94 310
35.10952 54 162 95 311
35.86354 54 162 96 312
36.52862 55 162 96 313
37.41223 54 163 96 313
37.60109 54 163 97 314
37.96938 54 164 96 314
39.12504 54 165 95 314
41.18268 54 166 94 314
41.49664 55 166 94 315
41.53368 56 166 94 316
43.41635 57 166 94 317
43.4465 58 166 94 318
44.75019 58 166 95 319
47.22153 59 166 95 320
54.151 59 166 96 321
57.67806 60 166 96 322
57.79371 61 166 96 323
57.99023 61 167 95 323
59.06183 62 167 95 324
59.65366 62 168 94 324

